2025-06-30 04:59:52,602 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2025-06-30 04:59:52,602 | INFO | ulauncher: main() | Extension API version 2.0.0
2025-06-30 04:59:52,602 | INFO | ulauncher: main() | GTK+ 3.24.49
2025-06-30 04:59:52,602 | INFO | ulauncher: main() | Is Wayland: False
2025-06-30 04:59:52,602 | INFO | ulauncher: main() | Wayland compatibility: off
2025-06-30 04:59:52,627 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2025-06-30 04:59:52,631 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2025-06-30 04:59:52,631 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2025-06-30 04:59:52,631 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2025-06-30 04:59:52,632 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2025-06-30 04:59:52,632 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2025-06-30 04:59:52,632 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2025-06-30 04:59:52,632 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2025-06-30 04:59:52,632 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2025-06-30 04:59:52,632 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2025-06-30 04:59:52,634 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-06-30 04:59:52,634 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-06-30 04:59:52,644 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-06-30 04:59:52,647 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2025-06-30 04:59:52,648 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2025-06-30 04:59:52,674 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 83 apps in cache
2025-06-30 04:59:52,675 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron23.desktop": constructor returned NULL
2025-06-30 04:59:52,675 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron34.desktop": constructor returned NULL
2025-06-30 04:59:52,675 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron9.desktop": constructor returned NULL
2025-06-30 04:59:52,675 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron15.desktop": constructor returned NULL
2025-06-30 04:59:52,675 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron35.desktop": constructor returned NULL
2025-06-30 04:59:52,675 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron8.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron33.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron4.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron22.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron37.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron30.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron40.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron12.desktop": constructor returned NULL
2025-06-30 04:59:52,676 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron31.desktop": constructor returned NULL
2025-06-30 04:59:52,677 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron6.desktop": constructor returned NULL
2025-06-30 04:59:52,677 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron19.desktop": constructor returned NULL
2025-06-30 04:59:52,677 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron39.desktop": constructor returned NULL
2025-06-30 04:59:52,677 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron.desktop": constructor returned NULL
2025-06-30 04:59:52,677 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron38.desktop": constructor returned NULL
2025-06-30 04:59:52,677 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron36.desktop": constructor returned NULL
2025-06-30 04:59:52,678 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron32.desktop": constructor returned NULL
2025-06-30 04:59:52,678 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron16.desktop": constructor returned NULL
2025-06-30 04:59:52,678 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron7.desktop": constructor returned NULL
2025-06-30 04:59:52,678 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron18.desktop": constructor returned NULL
2025-06-30 04:59:52,678 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron21.desktop": constructor returned NULL
2025-06-30 04:59:52,678 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron26.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron25.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron13.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron17.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron29.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron10.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron28.desktop": constructor returned NULL
2025-06-30 04:59:52,679 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron27.desktop": constructor returned NULL
2025-06-30 04:59:52,680 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron24.desktop": constructor returned NULL
2025-06-30 04:59:52,680 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron11.desktop": constructor returned NULL
2025-06-30 04:59:52,680 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron20.desktop": constructor returned NULL
2025-06-30 04:59:52,680 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/pd0rk1n/.local/share/applications/electron14.desktop": constructor returned NULL
2025-06-30 04:59:52,716 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2025-06-30 04:59:52,720 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 83 apps in the system
2025-06-30 04:59:52,721 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.07 seconds
2025-06-30 04:59:52,729 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
